	concept_id	concept_name	pearson_brainmask	pearson_cca	nvoxels_cca	pearson_cca_thresh1	nvoxels_cca_thresh1
39	trm_4a3fd79d09ab2	auditory perception	0.116467823556	0.116439608111	28536.0	0.343650258884	1862.0
51	trm_55ce70b20186b	detection	0.118080366733	0.118170778091	28536.0	0.33264988265	1870.0
11	trm_5678a999f1c19	numerical comparison	0.0106114327161	0.0106035640642	28536.0	0.317229268207	44.0
10	trm_4a3fd79d0a7bb	learning	0.0456482442177	0.0456500487785	28536.0	0.312268471489	570.0
36	trm_557b4b9ccdc4a	visual word recognition	0.0392395286767	0.039246334715	28536.0	0.298172173972	1437.0
13	trm_557b48a224b95	loss anticipation	0.0708448762492	0.0708319374358	28536.0	0.256128378095	729.0
19	trm_558c7ae1eaf86	arithmetic processing	0.0576953069499	0.0576702314752	28536.0	0.236087645002	522.0
60	trm_4a3fd79d0b043	selective attention	0.045918991964	0.0458831950555	28536.0	0.205063777271	502.0
56	trm_4ee8facd77dfc	self control	0.0489986099663	0.048978378883	28536.0	0.190686755913	194.0
23	trm_4a3fd79d09d93	color perception	0.0227158509894	0.0227059852261	28536.0	0.189074112981	436.0
54	trm_4a3fd79d0a723	judgment	0.0898021025656	0.0899391144051	28536.0	0.168084128031	1196.0
55	trm_55b6b9d7c9435	working memory maintenance	0.115953511074	0.115955517062	28536.0	0.16380970905	2055.0
64	trm_557b48d40d3cf	negative emotion	0.00542205617469	0.00541747551401	28536.0	0.148642246802	67.0
14	trm_4a3fd79d0b802	language processing	0.0485221568487	0.0485403024754	28536.0	0.129362012038	1180.0
1	trm_4a3fd79d0b392	theory of mind	0.0367699768133	0.0367456696755	28536.0	0.103226577035	1774.0
42	trm_4a3fd79d09c28	categorization	-0.0140602863614	-0.0141338896042	28536.0	0.091487354488	1338.0
22	trm_557b4b7176394	visual recognition	-0.0286097075477	-0.0286165122813	28536.0	0.0872418989569	1602.0
6	trm_557b4add1837e	task difficulty	0.04639744096	0.0463336211668	28536.0	0.0870983620056	1084.0
32	trm_55b6b9a666604	working memory updating	0.0572010950065	0.0572369540265	28536.0	0.07586378083	328.0
34	trm_4a3fd79d0a775	language comprehension	0.0069652526086	0.00697115337725	28536.0	0.0726492255549	208.0
18	trm_4a3fd79d09902	attention	0.0827348530895	0.0828364324749	28536.0	0.0715671593217	877.0
9	trm_4a3fd79d09849	anticipation	-0.0200843570198	-0.0201321048832	28536.0	0.0672882976179	816.0
17	trm_4c3e04d656f06	interference resolution	0.0221727046564	0.0221641858315	28536.0	0.0619422711163	229.0
61	trm_4a3fd79d0b58f	word recognition	0.006121731041	0.00613230224113	28536.0	0.043720237388	1507.0
2	trm_4a3fd79d0a891	memory	-0.0192445636259	-0.0193114200675	28536.0	0.0425141135668	669.0
53	trm_4a3fd79d0b5a7	working memory	0.0313574758196	0.031361940512	28536.0	0.04167613755	239.0
27	trm_4a3fd79d0b4b5	visual perception	0.0213496010484	0.0213115484765	28536.0	0.0293476789729	1936.0
5	trm_4a3fd79d0ab7c	perception	-0.0412452491534	-0.0413265548465	28536.0	0.022553947388	1317.0
28	trm_4a3fd79d0b46f	visual attention	-0.0417772231232	-0.0417482950678	28536.0	0.0197352520005	2004.0
