	correct	incorrect	number_images
judgment	0.79347826087	0.20652173913	2.0
word maintenance	0.79347826087	0.20652173913	1.0
emotional self-evaluation	0.791208791209	0.208791208791	2.0
feedback processing	0.785714285714	0.214285714286	7.0
updating	0.781055900621	0.218944099379	14.0
relational comparison	0.771739130435	0.228260869565	3.0
right finger response execution	0.771739130435	0.228260869565	3.0
numerical scale judgment	0.762773722628	0.237226277372	3.0
emotional suppression	0.728260869565	0.271739130435	1.0
self control	0.728260869565	0.271739130435	1.0
emotion regulation	0.728260869565	0.271739130435	1.0
confidence judgment	0.70652173913	0.29347826087	1.0
working memory updating	0.70652173913	0.29347826087	2.0
risk processing	0.70652173913	0.29347826087	1.0
economic value processing	0.70652173913	0.29347826087	1.0
discrimination	0.701086956522	0.298913043478	4.0
auditory tone discrimination	0.619565217391	0.380434782609	3.0
object detection	0.61231884058	0.38768115942	3.0
visual object detection	0.597826086957	0.402173913043	4.0
visual string recognition	0.586956521739	0.413043478261	1.0
string maintenance	0.586956521739	0.413043478261	1.0
decision	0.565217391304	0.434782608696	1.0
decision under uncertainty	0.559782608696	0.440217391304	2.0
risk seeking	0.559782608696	0.440217391304	2.0
loss anticipation	0.550724637681	0.449275362319	3.0
right toe response execution	0.532608695652	0.467391304348	1.0
punishment processing	0.510869565217	0.489130434783	2.0
left toe response execution	0.5	0.5	1.0
object maintenance	0.478260869565	0.521739130435	3.0
tongue response execution	0.423913043478	0.576086956522	1.0
left finger response execution	0.423913043478	0.576086956522	1.0
anticipation	0.420289855072	0.579710144928	3.0
mental representation	0.413043478261	0.586956521739	1.0
context representation	0.413043478261	0.586956521739	1.0
monetary reward prediction error	0.413043478261	0.586956521739	1.0
visual object maintenance	0.402173913043	0.597826086957	2.0
arithmetic processing	0.391304347826	0.608695652174	2.0
auditory word recognition	0.326086956522	0.673913043478	1.0
risk	0.326086956522	0.673913043478	2.0
animacy perception	0.282608695652	0.717391304348	1.0
reward anticipation	0.271739130435	0.728260869565	3.0
task difficulty	0.260869565217	0.739130434783	3.0
potential monetary reward	0.163043478261	0.836956521739	1.0
negative emotion	0.141304347826	0.858695652174	1.0
emotion	0.141304347826	0.858695652174	1.0
response conflict	0.130434782609	0.869565217391	1.0
interference resolution	0.130434782609	0.869565217391	1.0
resistance to distractor inference	0.130434782609	0.869565217391	1.0
