	correct	incorrect	number_images
visual pseudoword recognition	1.0	0.0	1.0
auditory tone perception	1.0	0.0	1.0
left hand response execution	1.0	0.0	2.0
potential monetary loss	1.0	0.0	1.0
color recognition	0.994565217391	0.0054347826087	2.0
right hand response execution	0.994565217391	0.0054347826087	2.0
vocal response execution	0.994565217391	0.0054347826087	2.0
visual letter recognition	0.989130434783	0.0108695652174	1.0
spatial selective attention	0.989130434783	0.0108695652174	1.0
causal inference	0.989130434783	0.0108695652174	3.0
inference	0.989130434783	0.0108695652174	3.0
selective attention	0.989130434783	0.0108695652174	1.0
tool maintenance	0.983695652174	0.0163043478261	2.0
face maintenance	0.983695652174	0.0163043478261	2.0
visual tool recognition	0.983695652174	0.0163043478261	2.0
positive feedback processing	0.981884057971	0.018115942029	3.0
decision certainty	0.978260869565	0.0217391304348	1.0
color perception	0.978260869565	0.0217391304348	3.0
auditory tone detection	0.969202898551	0.0307971014493	6.0
place maintenance	0.967391304348	0.0326086956522	2.0
response inhibition	0.963043478261	0.0369565217391	5.0
inhibition	0.963043478261	0.0369565217391	5.0
body maintenance	0.961956521739	0.0380434782609	2.0
visual body recognition	0.961956521739	0.0380434782609	2.0
categorization	0.95652173913	0.0434782608696	8.0
oddball detection	0.95652173913	0.0434782608696	8.0
spatial attention	0.951086956522	0.0489130434783	2.0
attention	0.951086956522	0.0489130434783	2.0
visual attention	0.951086956522	0.0489130434783	2.0
auditory sentence recognition	0.948369565217	0.0516304347826	4.0
visual color discrimination	0.945652173913	0.054347826087	1.0
visual form discrimination	0.945652173913	0.054347826087	1.0
face recognition	0.928260869565	0.0717391304348	5.0
visual face recognition	0.928260869565	0.0717391304348	5.0
proactive control	0.923913043478	0.0760869565217	10.0
response selection	0.918318028033	0.0816819719671	45.0
decision making	0.916062801932	0.0839371980676	18.0
numerical comparison	0.913043478261	0.0869565217391	1.0
animacy decision	0.913043478261	0.0869565217391	1.0
motion detection	0.913043478261	0.0869565217391	1.0
pattern maintenance	0.913043478261	0.0869565217391	1.0
sentence recognition 	0.909937888199	0.0900621118012	7.0
language processing	0.909937888199	0.0900621118012	7.0
sentence processing	0.909937888199	0.0900621118012	7.0
visual object recognition	0.906126482213	0.0938735177866	11.0
object recognition	0.900362318841	0.0996376811594	12.0
form perception	0.898912348049	0.101087651951	34.0
visual form recognition	0.897495056032	0.102504943968	33.0
learning	0.891304347826	0.108695652174	6.0
reinforcement learning	0.891304347826	0.108695652174	6.0
emotional face recognition	0.891304347826	0.108695652174	3.0
emotion recognition	0.891304347826	0.108695652174	3.0
visual recognition	0.888331242158	0.111668757842	52.0
working memory maintenance	0.884963768116	0.115036231884	12.0
memory	0.88188976378	0.11811023622	58.0
recognition	0.88188976378	0.11811023622	58.0
subjective food value	0.880434782609	0.119565217391	1.0
response execution	0.876076121432	0.123923878568	48.0
visual perception	0.874563106796	0.125436893204	56.0
selective control	0.871376811594	0.128623188406	6.0
pattern recognition	0.869565217391	0.130434782609	4.0
visual pattern recognition	0.869565217391	0.130434782609	4.0
auditory perception	0.867391304348	0.132608695652	10.0
detection	0.866847826087	0.133152173913	12.0
error detection	0.866459627329	0.133540372671	7.0
visual sentence recognition	0.858695652174	0.141304347826	3.0
perception	0.852858646089	0.147141353911	62.0
stimulus detection	0.850241545894	0.149758454106	9.0
visual place recognition	0.836956521739	0.163043478261	3.0
working memory	0.836956521739	0.163043478261	2.0
high energy density food recognition	0.836956521739	0.163043478261	1.0
story comprehension	0.836956521739	0.163043478261	1.0
language comprehension	0.836956521739	0.163043478261	1.0
visual number recognition	0.833333333333	0.166666666667	3.0
social cognition	0.829710144928	0.170289855072	6.0
theory of mind	0.829710144928	0.170289855072	6.0
feature comparison	0.826086956522	0.173913043478	6.0
auditory recognition	0.823913043478	0.176086956522	5.0
visual word recognition	0.822141560799	0.177858439201	12.0
word recognition	0.822141560799	0.177858439201	12.0
cognitive control	0.812801932367	0.187198067633	27.0
maintenance	0.803623188406	0.196376811594	15.0
negative feedback processing	0.796195652174	0.203804347826	4.0
subjective value judgment	0.79347826087	0.20652173913	2.0
