	CONCEPT_NAMES	0	1	2	3	4	5	6	7	8	9
trm_558c7b5228ed4	visual sentence recognition	temporal sulcus	temporal	theory mind	middle temporal	posterior superior	psts	mind	sentence	social	sulcus psts
trm_557b4891e9265	feature comparison	state	resting	cingulate	resting state	pain	cingulate cortex	healthy	state functional	posterior cingulate	mode network
trm_4ee8facd77dfc	self control	matter	gray	cingulate cortex	abnormalities	negative	disorder	regulation	prefrontal cortex	gray matter	positive
trm_557b4b56de455	visual object detection	finger	index finger	finger movements	tapping	finger tapping	cerebellum	cortex supplementary	cerebellar	movements	premotor cortex
trm_5534111a8bc96	punishment processing	visual	occipital	occipital cortex	extrastriate	lateral occipital	visual cortex	v1	occipito	mt	object
trm_557b4b7176394	visual recognition	social	faces	emotional	neutral	emotion	face	amygdala	anterior temporal	ventromedial	medial prefrontal
trm_4a3fd79d0afcf	risk	auditory	auditory cortex	sounds	listening	heschl	heschl gyrus	acoustic	primary auditory	speech	planum temporale
trm_4a3fd79d09d93	color perception	listening	auditory cortex	acoustic	comprehension	sounds	temporal gyrus	temporal	listened	state	speech
trm_4c3e05903e4bb	updating	task	intraparietal	tasks	intraparietal sulcus	visual	working memory	working	ips	sulcus ips	fronto parietal
trm_557b4a7315f1b	response execution	execution	supplementary motor	supplementary	task	sma	premotor	tasks	motor	parietal	premotor cortex
trm_4a3fd79d0af66	response inhibition	cingulate	cingulate cortex	state	resting	resting state	posterior cingulate	prefrontal cortex	anterior	healthy	medial prefrontal
trm_557b495cdde57	potential monetary reward	maps	states	progressive	32	cingulate	pre	test	strongly	potentially	scale
trm_557b4abe521af	spatial selective attention	state	resting	resting state	healthy	cingulate	matter	state functional	gray	clinical	gray matter
trm_5159beaf80413	animacy perception	speech production	production	somatosensory	premotor	premotor cortex	motor	ventral premotor	sensorimotor	overt	s1
trm_557b4855a12b4	emotional self-evaluation	mt	v5	occipital	motion	lateral occipital	extrastriate	visual motion	visual	visual field	occipital cortex
trm_4a3fd79d0b4a9	visual object recognition	visual	intraparietal	intraparietal sulcus	task	ips	sulcus ips	occipital	tasks	attentional	fronto parietal
trm_568427366401c	sentence recognition 	fusiform	objects	fusiform gyrus	occipito temporal	occipito	face	occipitotemporal	object	ffa	fusiform face
trm_55ef153d47bc0	confidence judgment	correlation	maps	level signal	states	intensity	cingulate	structures	detect	evidence	follow
trm_4a3fd79d09c28	categorization	matter	depression	posterior cingulate	prefrontal cortex	negative	prefrontal	memory	voxel	disorder	retrieval
trm_557b476527a27	auditory tone discrimination	medial prefrontal	posterior cingulate	default	medial	state	default mode	mode network	network dmn	dmn	resting
trm_4a3fd79d0b58f	word recognition	resting state	resting	state functional	occipital	dmn	mode network	precuneus	network dmn	default mode	state
trm_557b478ce1c24	color recognition	negative	depression	disorder	risk	positive	resting state	abnormalities	matter	episodic	posterior cingulate
trm_56798c5f25b0c	context representation	visual	occipital	intraparietal	intraparietal sulcus	object	occipito	color	task	ips	sulcus ips
trm_4a3fd79d0a20c	error detection	state	resting	cingulate	resting state	posterior cingulate	medial prefrontal	default mode	default	mode network	cingulate cortex
trm_55b6b92c1fd76	left finger response execution	premotor	motor	execution	premotor cortex	movements	supplementary	supplementary motor	hand	superior parietal	sma
trm_559f0986182cc	visual object maintenance	posterior cingulate	cingulate	state	resting	resting state	network dmn	cingulate cortex	mode network	dmn	default mode
trm_4a3fd79d0a723	judgment	intraparietal	intraparietal sulcus	sulcus	visual	object	motion	observation	action	superior parietal	parietal
trm_4a3fd79d0a613	inhibition	cingulate	cingulate cortex	state	resting	resting state	posterior cingulate	prefrontal cortex	anterior	healthy	medial prefrontal
trm_4a3fd79d0b64e	risk seeking	prefrontal cortex	negative	prefrontal	depression	posterior cingulate	medial prefrontal	medial	memory retrieval	recollection	regulation
trm_557b499fac085	resistance to distractor inference	structural	matter	white	faces	white matter	fearful	resolution	structure	perception	limited
trm_55ef1fd2bc418	visual string recognition	fusiform	face	fusiform face	occipito temporal	ffa	face ffa	fusiform gyrus	occipito	visual	occipitotemporal
trm_55ef687f48a9d	auditory recognition	working memory	working	dorsolateral	dorsolateral prefrontal	task	parietal cortex	frontoparietal	memory	parietal	executive
trm_557b48e337218	negative feedback processing	visual	v1	occipital	visual cortex	occipital cortex	primary visual	extrastriate	vision	mt	visual field
trm_557b4b8cd05ca	visual tool recognition	fusiform	face	occipito temporal	occipito	task	color	visual	working memory	working	occipitotemporal
trm_5678a999f1c19	numerical comparison	middle	frontal	frontal lobe	anterior	lobe	suggesting	future	inferior	provide	32
trm_559f0a5b4cd36	monetary reward prediction error	visual	occipital	intraparietal	intraparietal sulcus	object	occipito	color	task	ips	sulcus ips
trm_558c73f3c8c6f	visual pseudoword recognition	speech production	production	vocal	pitch	auditory cortices	overt	sparse	speech	heschl	heschl gyrus
trm_557b4acdee820	string maintenance	fusiform	face	fusiform face	occipito temporal	ffa	face ffa	fusiform gyrus	occipito	visual	occipitotemporal
trm_4a3fd79d0a5ed	inference	foot	sma	supplementary	supplementary motor	extension	motor sma	motor	limb	execution	motor imagery
trm_557b49ad14adf	response conflict	structural	matter	white	faces	white matter	fearful	resolution	structure	perception	limited
trm_557b4af7cc1cb	visual body recognition	visual	occipital	visual cortex	occipital cortex	objects	lateral occipital	occipito	v1	object	extrastriate
trm_557b471bc6cd8	animacy decision	visual	occipital	intraparietal	intraparietal sulcus	object	occipito	ips	color	occipito temporal	sulcus ips
trm_557b477b4a15f	body maintenance	visual	occipital	visual cortex	occipital cortex	objects	lateral occipital	occipito	v1	object	extrastriate
trm_4a3fd79d0af71	response selection	matter	state	resting	cingulate	posterior cingulate	resting state	state functional	medial prefrontal	voxel	cingulate cortex
trm_4a3fd79d09902	attention	visual	occipital	v1	spatial	intraparietal sulcus	intraparietal	early visual	visual cortex	lingual	color
trm_55ef3ba010121	vocal response execution	state	resting	resting state	cingulate	posterior cingulate	state functional	medial prefrontal	mode network	default	default mode
trm_567982752ff4a	decision under uncertainty	prefrontal cortex	negative	prefrontal	depression	posterior cingulate	medial prefrontal	medial	memory retrieval	recollection	regulation
trm_55b6b96e77df6	left toe response execution	risk	depressive	depression	making	compulsive	fractional	abnormalities	obsessive	obsessive compulsive	negatively
trm_557b49851e991	proactive control	voxel	matter	resting	state	healthy	morphometry	treatment	volume	resting state	voxel morphometry
trm_4a3fd79d0b4b5	visual perception	face	fusiform	faces	fusiform gyrus	viewing	visual	perception	occipital	viewed	temporal
trm_558c7ae1eaf86	arithmetic processing	prefrontal cortex	prefrontal	disorder	negative	pfc	medial	orbitofrontal	depression	memory	cognitive
trm_557b4b154e0d9	visual face recognition	visual	occipital	lateral occipital	object	parieto occipital	grasping	motion	mt	vision	shape
