	RSA
partof_katz	0.53668905767735731
both_ascos	0.52678376076755529
wang	0.52583690934672034
both_katz	0.52564003093905065
partof_ascos	0.5187330900441981
kindof_ascos	0.46328604556232283
partof_lhn	0.45991948350120099
partof_rss2	0.4595479060568583
kindof_katz	0.45750958638745604
partof_inverse_log_weighted	0.45309996528373669
partof_dice	0.40101501136376227
partof_cosine	0.38241577718294339
kindof_dice	0.37082397725704314
partof_jaccard	0.35084125279878864
kindof_cosine	0.32002576126615179
kindof_inverse_log_weighted	0.29948239656203851
kindof_jaccard	0.28645656044458095
kindof_rss2	0.26298208743269869
kindof_lhn	0.23939086455882566
both_cosine	0.10006804108426343
both_jaccard	0.10000595858319443
both_dice	0.092440912729851249
both_rss2	0.087413107846472313
both_inverse_log_weighted	0.08579648062390105
