	TP	TN	FP	FN	image1	image2
119_3194	18.0	0.0	240.0	6.0	119.0	3194.0
2866_8820	5.0	0.0	257.0	2.0	2866.0	8820.0
3039_3180	4.0	0.0	257.0	3.0	3039.0	3180.0
143_2866	13.0	0.0	249.0	2.0	143.0	2866.0
143_183	21.0	0.0	239.0	4.0	143.0	183.0
142_8719	20.0	0.0	241.0	3.0	142.0	8719.0
1586_3160	9.0	0.0	249.0	6.0	1586.0	3160.0
143_3173	21.0	0.0	240.0	3.0	143.0	3173.0
415_3188	14.0	0.0	246.0	4.0	415.0	3188.0
420_8718	8.0	0.0	253.0	3.0	420.0	8718.0
122_2883	4.0	0.0	258.0	2.0	122.0	2883.0
135_407	19.0	0.0	241.0	4.0	135.0	407.0
407_3039	11.0	0.0	249.0	4.0	407.0	3039.0
140_8820	14.0	0.0	248.0	2.0	140.0	8820.0
138_395	10.0	0.0	245.0	9.0	138.0	395.0
419_3158	8.0	0.0	253.0	3.0	419.0	3158.0
118_146	25.0	0.0	236.0	3.0	118.0	146.0
190_1583	20.0	0.0	235.0	9.0	190.0	1583.0
154_2963	17.0	0.0	244.0	3.0	154.0	2963.0
3131_8727	11.0	0.0	251.0	2.0	3131.0	8727.0
146_166	36.0	0.0	221.0	7.0	146.0	166.0
394_3131	17.0	0.0	243.0	4.0	394.0	3131.0
109_1750	15.0	0.0	240.0	9.0	109.0	1750.0
119_143	17.0	0.0	244.0	3.0	119.0	143.0
395_3142	10.0	0.0	248.0	6.0	395.0	3142.0
3194_8727	15.0	0.0	247.0	2.0	3194.0	8727.0
118_8730	17.0	0.0	242.0	5.0	118.0	8730.0
2963_3162	4.0	0.0	259.0	1.0	2963.0	3162.0
142_407	27.0	0.0	232.0	5.0	142.0	407.0
1584_2714	10.0	0.0	245.0	9.0	1584.0	2714.0
111_3173	11.0	1.0	247.0	5.0	111.0	3173.0
183_1583	19.0	0.0	234.0	11.0	183.0	1583.0
141_3192	23.0	0.0	237.0	4.0	141.0	3192.0
159_8718	9.0	0.0	254.0	1.0	159.0	8718.0
149_3039	18.0	0.0	243.0	3.0	149.0	3039.0
8719_8730	11.0	0.0	248.0	5.0	8719.0	8730.0
420_3154	16.0	0.0	243.0	5.0	420.0	3154.0
190_412	14.0	0.0	244.0	6.0	190.0	412.0
120_407	18.0	0.0	241.0	5.0	120.0	407.0
139_3188	23.0	0.0	238.0	3.0	139.0	3188.0
2731_2963	6.0	0.0	256.0	2.0	2731.0	2963.0
157_1586	19.0	0.0	236.0	9.0	157.0	1586.0
2826_3191	23.0	0.0	234.0	7.0	2826.0	3191.0
164_8718	10.0	0.0	251.0	3.0	164.0	8718.0
143_3191	24.0	0.0	238.0	2.0	143.0	3191.0
2723_3131	14.0	0.0	249.0	1.0	2723.0	3131.0
136_3154	14.0	0.0	241.0	9.0	136.0	3154.0
2714_2863	11.0	0.0	244.0	9.0	2714.0	2863.0
149_394	23.0	0.0	236.0	5.0	149.0	394.0
173_2723	17.0	0.0	243.0	4.0	173.0	2723.0
166_190	31.0	0.0	227.0	6.0	166.0	190.0
116_415	5.0	0.0	258.0	1.0	116.0	415.0
3039_8625	3.0	0.0	256.0	5.0	3039.0	8625.0
8727_8730	9.0	0.0	249.0	6.0	8727.0	8730.0
407_2883	10.0	0.0	250.0	4.0	407.0	2883.0
2963_8820	3.0	0.0	258.0	3.0	2963.0	8820.0
144_8625	12.0	0.0	247.0	5.0	144.0	8625.0
141_3173	21.0	0.0	240.0	3.0	141.0	3173.0
146_3131	26.0	0.0	234.0	4.0	146.0	3131.0
119_3164	8.0	0.0	253.0	3.0	119.0	3164.0
3158_3187	11.0	0.0	251.0	2.0	3158.0	3187.0
3186_3193	22.0	0.0	237.0	5.0	3186.0	3193.0
394_1585	9.0	0.0	251.0	4.0	394.0	1585.0
187_3164	11.0	0.0	250.0	3.0	187.0	3164.0
120_394	16.0	0.0	243.0	5.0	120.0	394.0
188_3186	19.0	1.0	238.0	6.0	188.0	3186.0
2718_3180	2.0	0.0	253.0	9.0	2718.0	3180.0
136_173	19.0	0.0	235.0	10.0	136.0	173.0
111_2714	7.0	1.0	246.0	10.0	111.0	2714.0
109_2718	13.0	0.0	246.0	5.0	109.0	2718.0
140_178	13.0	0.0	246.0	5.0	140.0	178.0
420_8727	8.0	0.0	252.0	4.0	420.0	8727.0
166_3175	32.0	0.0	226.0	6.0	166.0	3175.0
187_8730	17.0	0.0	239.0	8.0	187.0	8730.0
4_1587	3.0	0.0	259.0	2.0	4.0	1587.0
136_1585	8.0	0.0	249.0	7.0	136.0	1585.0
173_2883	14.0	0.0	245.0	5.0	173.0	2883.0
135_190	20.0	0.0	240.0	4.0	135.0	190.0
119_3193	18.0	0.0	242.0	4.0	119.0	3193.0
1586_3173	19.0	0.0	238.0	7.0	1586.0	3173.0
415_1586	11.0	0.0	246.0	7.0	415.0	1586.0
4_143	10.0	0.0	250.0	4.0	4.0	143.0
2826_3187	20.0	0.0	238.0	6.0	2826.0	3187.0
3175_3186	23.0	0.0	236.0	5.0	3175.0	3186.0
418_8820	9.0	0.0	251.0	4.0	418.0	8820.0
3_1750	21.0	0.0	235.0	8.0	3.0	1750.0
415_2883	5.0	0.0	257.0	2.0	415.0	2883.0
116_420	9.0	0.0	253.0	2.0	116.0	420.0
111_188	9.0	2.0	248.0	5.0	111.0	188.0
146_147	31.0	0.0	228.0	5.0	146.0	147.0
135_3154	18.0	0.0	242.0	4.0	135.0	3154.0
118_394	17.0	0.0	245.0	2.0	118.0	394.0
394_2826	18.0	0.0	239.0	7.0	394.0	2826.0
173_3040	15.0	0.0	245.0	4.0	173.0	3040.0
119_154	22.0	0.0	238.0	4.0	119.0	154.0
415_3179	13.0	0.0	243.0	8.0	415.0	3179.0
142_8718	19.0	0.0	243.0	2.0	142.0	8718.0
3191_8820	15.0	0.0	246.0	3.0	3191.0	8820.0
122_146	19.0	0.0	241.0	4.0	122.0	146.0
122_187	13.0	0.0	248.0	3.0	122.0	187.0
136_159	14.0	0.0	243.0	7.0	136.0	159.0
419_3194	18.0	0.0	240.0	6.0	419.0	3194.0
154_3164	17.0	0.0	245.0	2.0	154.0	3164.0
119_394	14.0	0.0	245.0	5.0	119.0	394.0
1586_3154	16.0	0.0	240.0	8.0	1586.0	3154.0
3041_3188	20.0	0.0	241.0	3.0	3041.0	3188.0
142_187	27.0	0.0	232.0	5.0	142.0	187.0
147_3192	28.0	0.0	231.0	5.0	147.0	3192.0
177_3191	14.0	0.0	248.0	2.0	177.0	3191.0
3131_3179	21.0	0.0	237.0	6.0	3131.0	3179.0
122_190	14.0	1.0	246.0	3.0	122.0	190.0
4_8625	2.0	0.0	256.0	6.0	4.0	8625.0
419_3187	17.0	0.0	244.0	3.0	419.0	3187.0
2824_3191	23.0	0.0	236.0	5.0	2824.0	3191.0
164_1583	20.0	0.0	236.0	8.0	164.0	1583.0
116_3154	9.0	0.0	252.0	3.0	116.0	3154.0
190_2718	14.0	0.0	244.0	6.0	190.0	2718.0
120_2824	20.0	0.0	240.0	4.0	120.0	2824.0
3164_8718	1.0	0.0	261.0	2.0	3164.0	8718.0
177_2963	1.0	0.0	260.0	3.0	177.0	2963.0
1585_2729	6.0	0.0	256.0	2.0	1585.0	2729.0
8718_8727	0.0	0.0	261.0	3.0	8718.0	8727.0
2824_3158	14.0	0.0	249.0	1.0	2824.0	3158.0
1586_8718	8.0	0.0	250.0	6.0	1586.0	8718.0
394_2824	17.0	0.0	241.0	6.0	394.0	2824.0
154_1587	16.0	0.0	245.0	3.0	154.0	1587.0
135_143	20.0	0.0	242.0	2.0	135.0	143.0
186_2731	14.0	0.0	245.0	5.0	186.0	2731.0
149_2718	19.0	0.0	239.0	6.0	149.0	2718.0
141_1585	12.0	0.0	250.0	2.0	141.0	1585.0
1586_8820	11.0	0.0	248.0	5.0	1586.0	8820.0
3131_8730	18.0	0.0	240.0	6.0	3131.0	8730.0
119_177	8.0	0.0	254.0	2.0	119.0	177.0
143_164	20.0	0.0	241.0	3.0	143.0	164.0
419_2824	17.0	0.0	242.0	5.0	419.0	2824.0
3156_3185	13.0	0.0	249.0	2.0	3156.0	3185.0
3_165	30.0	0.0	228.0	6.0	3.0	165.0
141_1750	17.0	0.0	240.0	7.0	141.0	1750.0
118_1585	11.0	0.0	252.0	1.0	118.0	1585.0
118_1587	10.0	0.0	253.0	1.0	118.0	1587.0
1585_3179	14.0	0.0	245.0	5.0	1585.0	3179.0
142_3129	30.0	0.0	229.0	5.0	142.0	3129.0
143_147	25.0	0.0	236.0	3.0	143.0	147.0
119_190	16.0	0.0	242.0	6.0	119.0	190.0
401_3129	21.0	0.0	237.0	6.0	401.0	3129.0
1750_3186	19.0	0.0	237.0	8.0	1750.0	3186.0
146_3041	25.0	0.0	235.0	4.0	146.0	3041.0
186_3173	20.0	0.0	237.0	7.0	186.0	3173.0
3179_3194	23.0	0.0	233.0	8.0	3179.0	3194.0
122_8820	5.0	0.0	257.0	2.0	122.0	8820.0
149_3160	18.0	0.0	244.0	2.0	149.0	3160.0
177_187	11.0	0.0	251.0	2.0	177.0	187.0
136_407	15.0	0.0	240.0	9.0	136.0	407.0
141_146	26.0	0.0	234.0	4.0	141.0	146.0
3158_3185	12.0	0.0	249.0	3.0	3158.0	3185.0
3040_3175	14.0	0.0	248.0	2.0	3040.0	3175.0
166_3129	32.0	0.0	225.0	7.0	166.0	3129.0
3194_8820	14.0	0.0	246.0	4.0	3194.0	8820.0
418_3039	9.0	0.0	251.0	4.0	418.0	3039.0
3185_8727	12.0	0.0	249.0	3.0	3185.0	8727.0
188_3191	21.0	1.0	237.0	5.0	188.0	3191.0
415_2718	6.0	0.0	252.0	6.0	415.0	2718.0
173_419	19.0	0.0	238.0	7.0	173.0	419.0
3186_3187	21.0	0.0	239.0	4.0	3186.0	3187.0
394_8718	7.0	0.0	253.0	4.0	394.0	8718.0
116_1587	2.0	0.0	261.0	1.0	116.0	1587.0
418_2731	11.0	0.0	249.0	4.0	418.0	2731.0
138_8719	7.0	0.0	249.0	8.0	138.0	8719.0
173_420	21.0	0.0	237.0	6.0	173.0	420.0
3191_8719	16.0	0.0	246.0	2.0	3191.0	8719.0
119_419	13.0	0.0	246.0	5.0	119.0	419.0
154_2718	17.0	0.0	240.0	7.0	154.0	2718.0
166_8820	22.0	0.0	237.0	5.0	166.0	8820.0
159_3186	21.0	0.0	241.0	2.0	159.0	3186.0
186_3186	21.0	0.0	236.0	7.0	186.0	3186.0
2729_8625	4.0	0.0	254.0	6.0	2729.0	8625.0
395_2826	17.0	0.0	242.0	5.0	395.0	2826.0
119_3156	8.0	0.0	253.0	3.0	119.0	3156.0
420_3131	18.0	0.0	243.0	3.0	420.0	3131.0
420_3162	10.0	0.0	252.0	2.0	420.0	3162.0
109_188	14.0	1.0	241.0	8.0	109.0	188.0
2723_2963	5.0	0.0	257.0	2.0	2723.0	2963.0
111_1585	4.0	1.0	257.0	2.0	111.0	1585.0
122_173	17.0	0.0	243.0	4.0	122.0	173.0
3156_3192	16.0	0.0	246.0	2.0	3156.0	3192.0
143_8727	11.0	0.0	251.0	2.0	143.0	8727.0
3129_3180	14.0	0.0	245.0	5.0	3129.0	3180.0
8719_10924	4.0	0.0	257.0	3.0	8719.0	10924.0
138_2863	8.0	0.0	246.0	10.0	138.0	2863.0
139_3040	14.0	0.0	249.0	1.0	139.0	3040.0
136_143	16.0	0.0	241.0	7.0	136.0	143.0
111_2824	10.0	1.0	247.0	6.0	111.0	2824.0
157_10924	12.0	0.0	245.0	7.0	157.0	10924.0
143_395	15.0	0.0	246.0	3.0	143.0	395.0
143_1583	20.0	0.0	237.0	7.0	143.0	1583.0
147_419	21.0	0.0	238.0	5.0	147.0	419.0
147_3187	25.0	0.0	236.0	3.0	147.0	3187.0
159_164	19.0	0.0	243.0	2.0	159.0	164.0
2714_3179	20.0	0.0	234.0	10.0	2714.0	3179.0
412_2963	6.0	0.0	254.0	4.0	412.0	2963.0
2883_3185	12.0	0.0	249.0	3.0	2883.0	3185.0
2729_3193	15.0	0.0	246.0	3.0	2729.0	3193.0
2718_3185	14.0	0.0	244.0	6.0	2718.0	3185.0
2963_3129	13.0	0.0	246.0	5.0	2963.0	3129.0
177_2729	5.0	0.0	258.0	1.0	177.0	2729.0
136_3158	7.0	0.0	250.0	7.0	136.0	3158.0
159_3175	21.0	0.0	241.0	2.0	159.0	3175.0
173_8727	14.0	0.0	245.0	5.0	173.0	8727.0
190_2824	20.0	0.0	238.0	6.0	190.0	2824.0
4_139	13.0	0.0	248.0	3.0	4.0	139.0
187_3179	20.0	0.0	236.0	8.0	187.0	3179.0
186_1584	13.0	0.0	245.0	6.0	186.0	1584.0
3_2718	16.0	0.0	241.0	7.0	3.0	2718.0
407_3129	21.0	0.0	237.0	6.0	407.0	3129.0
2863_2883	5.0	0.0	256.0	3.0	2863.0	2883.0
394_3160	10.0	0.0	252.0	2.0	394.0	3160.0
2866_3179	13.0	0.0	244.0	7.0	2866.0	3179.0
141_3156	11.0	0.0	251.0	2.0	141.0	3156.0
143_401	19.0	0.0	241.0	4.0	143.0	401.0
2731_2883	5.0	0.0	257.0	2.0	2731.0	2883.0
119_10924	10.0	0.0	251.0	3.0	119.0	10924.0
2718_8727	6.0	0.0	255.0	3.0	2718.0	8727.0
415_3129	15.0	0.0	244.0	5.0	415.0	3129.0
135_1584	13.0	0.0	248.0	3.0	135.0	1584.0
146_8730	24.0	0.0	232.0	8.0	146.0	8730.0
138_149	21.0	0.0	234.0	9.0	138.0	149.0
3188_8730	19.0	0.0	238.0	7.0	3188.0	8730.0
3040_3179	13.0	0.0	246.0	5.0	3040.0	3179.0
142_3194	30.0	0.0	229.0	5.0	142.0	3194.0
146_1586	24.0	0.0	232.0	8.0	146.0	1586.0
1587_8718	2.0	0.0	261.0	1.0	1587.0	8718.0
3191_3194	23.0	0.0	234.0	7.0	3191.0	3194.0
3_3039	13.0	0.0	245.0	6.0	3.0	3039.0
141_3142	14.0	0.0	244.0	6.0	141.0	3142.0
407_8625	10.0	0.0	247.0	7.0	407.0	8625.0
139_415	16.0	0.0	246.0	2.0	139.0	415.0
2729_3187	14.0	0.0	248.0	2.0	2729.0	3187.0
407_3180	10.0	0.0	248.0	6.0	407.0	3180.0
136_394	13.0	0.0	242.0	9.0	136.0	394.0
173_3186	24.0	0.0	233.0	7.0	173.0	3186.0
139_3187	22.0	0.0	240.0	2.0	139.0	3187.0
395_3131	15.0	0.0	246.0	3.0	395.0	3131.0
2824_2866	14.0	0.0	247.0	3.0	2824.0	2866.0
1584_10924	5.0	0.0	255.0	4.0	1584.0	10924.0
1584_2866	6.0	0.0	255.0	3.0	1584.0	2866.0
420_3185	19.0	0.0	241.0	4.0	420.0	3185.0
178_394	9.0	0.0	249.0	6.0	178.0	394.0
3193_8718	12.0	0.0	250.0	2.0	3193.0	8718.0
122_3039	5.0	0.0	257.0	2.0	122.0	3039.0
164_2863	15.0	0.0	246.0	3.0	164.0	2863.0
419_1584	9.0	0.0	250.0	5.0	419.0	1584.0
143_3158	12.0	0.0	251.0	1.0	143.0	3158.0
144_2714	18.0	0.0	238.0	8.0	144.0	2714.0
177_420	9.0	0.0	253.0	2.0	177.0	420.0
178_8727	2.0	1.0	256.0	5.0	178.0	8727.0
143_2826	22.0	0.0	238.0	4.0	143.0	2826.0
420_2866	10.0	0.0	250.0	4.0	420.0	2866.0
159_3185	20.0	0.0	242.0	2.0	159.0	3185.0
394_2863	12.0	0.0	248.0	4.0	394.0	2863.0
188_8727	7.0	1.0	250.0	6.0	188.0	8727.0
4_3142	5.0	0.0	252.0	7.0	4.0	3142.0
119_2729	10.0	0.0	250.0	4.0	119.0	2729.0
109_2866	8.0	1.0	248.0	7.0	109.0	2866.0
4_154	16.0	0.0	244.0	4.0	4.0	154.0
1750_3188	19.0	0.0	238.0	7.0	1750.0	3188.0
139_3180	13.0	0.0	247.0	4.0	139.0	3180.0
1587_2883	2.0	0.0	260.0	2.0	1587.0	2883.0
1586_3164	9.0	0.0	249.0	6.0	1586.0	3164.0
147_412	19.0	0.0	240.0	5.0	147.0	412.0
141_1584	13.0	0.0	248.0	3.0	141.0	1584.0
1585_3129	14.0	0.0	246.0	4.0	1585.0	3129.0
394_3164	8.0	0.0	252.0	4.0	394.0	3164.0
3156_3187	11.0	0.0	251.0	2.0	3156.0	3187.0
142_2714	25.0	0.0	230.0	9.0	142.0	2714.0
141_412	14.0	0.0	246.0	4.0	141.0	412.0
407_2729	13.0	0.0	247.0	4.0	407.0	2729.0
1583_3162	12.0	0.0	246.0	6.0	1583.0	3162.0
2883_3186	12.0	0.0	248.0	4.0	2883.0	3186.0
4_412	5.0	0.0	254.0	5.0	4.0	412.0
159_3179	21.0	0.0	239.0	4.0	159.0	3179.0
149_3191	29.0	0.0	231.0	4.0	149.0	3191.0
412_8727	4.0	0.0	255.0	5.0	412.0	8727.0
147_3154	23.0	0.0	236.0	5.0	147.0	3154.0
4_418	8.0	0.0	251.0	5.0	4.0	418.0
2714_3191	20.0	0.0	235.0	9.0	2714.0	3191.0
1585_1750	10.0	0.0	248.0	6.0	1585.0	1750.0
183_3164	12.0	0.0	248.0	4.0	183.0	3164.0
190_2714	20.0	0.0	237.0	7.0	190.0	2714.0
1584_1750	10.0	0.0	246.0	8.0	1584.0	1750.0
3158_3191	15.0	0.0	247.0	2.0	3158.0	3191.0
157_3192	24.0	0.0	233.0	7.0	157.0	3192.0
407_8718	10.0	0.0	251.0	3.0	407.0	8718.0
159_3156	10.0	0.0	253.0	1.0	159.0	3156.0
3_3162	12.0	0.0	246.0	6.0	3.0	3162.0
138_166	24.0	0.0	228.0	12.0	138.0	166.0
141_3194	23.0	0.0	238.0	3.0	141.0	3194.0
165_3193	27.0	0.0	231.0	6.0	165.0	3193.0
119_3191	20.0	0.0	240.0	4.0	119.0	3191.0
138_3160	5.0	0.0	250.0	9.0	138.0	3160.0
120_2866	10.0	0.0	249.0	5.0	120.0	2866.0
118_135	19.0	0.0	244.0	1.0	118.0	135.0
135_172	23.0	0.0	235.0	6.0	135.0	172.0
394_3142	14.0	0.0	245.0	5.0	394.0	3142.0
157_3164	12.0	0.0	247.0	5.0	157.0	3164.0
1583_3186	21.0	0.0	234.0	9.0	1583.0	3186.0
2863_3185	15.0	0.0	245.0	4.0	2863.0	3185.0
2718_2963	7.0	0.0	254.0	3.0	2718.0	2963.0
164_407	19.0	0.0	240.0	5.0	164.0	407.0
165_3185	27.0	0.0	231.0	6.0	165.0	3185.0
147_172	28.0	0.0	229.0	7.0	147.0	172.0
135_2824	20.0	0.0	240.0	4.0	135.0	2824.0
111_146	17.0	1.0	241.0	5.0	111.0	146.0
154_2824	27.0	0.0	234.0	3.0	154.0	2824.0
116_141	11.0	0.0	252.0	1.0	116.0	141.0
157_3194	25.0	0.0	234.0	5.0	157.0	3194.0
165_3175	28.0	0.0	230.0	6.0	165.0	3175.0
147_3188	26.0	0.0	234.0	4.0	147.0	3188.0
420_2963	11.0	0.0	251.0	2.0	420.0	2963.0
144_8718	11.0	0.0	251.0	2.0	144.0	8718.0
140_8730	19.0	0.0	238.0	7.0	140.0	8730.0
116_146	17.0	0.0	244.0	3.0	116.0	146.0
142_147	33.0	0.0	227.0	4.0	142.0	147.0
177_3187	11.0	0.0	252.0	1.0	177.0	3187.0
188_1750	15.0	1.0	239.0	9.0	188.0	1750.0
109_3173	18.0	0.0	240.0	6.0	109.0	3173.0
118_142	27.0	0.0	235.0	2.0	118.0	142.0
4_8727	1.0	0.0	259.0	4.0	4.0	8727.0
147_2883	16.0	0.0	245.0	3.0	147.0	2883.0
2729_3041	12.0	0.0	249.0	3.0	2729.0	3041.0
144_146	28.0	0.0	233.0	3.0	144.0	146.0
3041_3154	17.0	0.0	243.0	4.0	3041.0	3154.0
4_186	9.0	0.0	247.0	8.0	4.0	186.0
147_8718	16.0	0.0	246.0	2.0	147.0	8718.0
141_3193	21.0	0.0	240.0	3.0	141.0	3193.0
3039_3129	14.0	0.0	246.0	4.0	3039.0	3129.0
395_418	11.0	0.0	247.0	6.0	395.0	418.0
2714_8730	15.0	0.0	237.0	12.0	2714.0	8730.0
109_178	10.0	0.0	248.0	6.0	109.0	178.0
139_8727	14.0	0.0	249.0	1.0	139.0	8727.0
140_3142	17.0	0.0	242.0	5.0	140.0	3142.0
122_1584	6.0	0.0	255.0	3.0	122.0	1584.0
420_8820	10.0	0.0	251.0	3.0	420.0	8820.0
2866_2883	3.0	0.0	258.0	3.0	2866.0	2883.0
144_2723	15.0	0.0	248.0	1.0	144.0	2723.0
136_190	17.0	0.0	239.0	8.0	136.0	190.0
116_2883	2.0	0.0	261.0	1.0	116.0	2883.0
190_419	17.0	0.0	242.0	5.0	190.0	419.0
140_419	18.0	0.0	242.0	4.0	140.0	419.0
139_3131	22.0	0.0	240.0	2.0	139.0	3131.0
3162_8625	2.0	0.0	257.0	5.0	3162.0	8625.0
154_190	25.0	0.0	234.0	5.0	154.0	190.0
1750_8625	8.0	0.0	246.0	10.0	1750.0	8625.0
2731_3142	9.0	0.0	250.0	5.0	2731.0	3142.0
149_1750	24.0	0.0	233.0	7.0	149.0	1750.0
172_3192	26.0	0.0	230.0	8.0	172.0	3192.0
122_3154	11.0	0.0	249.0	4.0	122.0	3154.0
415_2723	7.0	0.0	255.0	2.0	415.0	2723.0
3180_3188	13.0	0.0	247.0	4.0	3180.0	3188.0
146_1583	26.0	0.0	229.0	9.0	146.0	1583.0
122_164	13.0	0.0	248.0	3.0	122.0	164.0
8625_8730	10.0	0.0	246.0	8.0	8625.0	8730.0
109_187	16.0	0.0	241.0	7.0	109.0	187.0
118_3156	10.0	0.0	253.0	1.0	118.0	3156.0
157_3131	21.0	0.0	238.0	5.0	157.0	3131.0
119_3040	9.0	0.0	253.0	2.0	119.0	3040.0
159_3191	22.0	0.0	240.0	2.0	159.0	3191.0
138_159	13.0	0.0	243.0	8.0	138.0	159.0
4_138	5.0	0.0	249.0	10.0	4.0	138.0
190_2731	15.0	0.0	246.0	3.0	190.0	2731.0
122_394	10.0	0.0	250.0	4.0	122.0	394.0
119_144	18.0	0.0	243.0	3.0	119.0	144.0
183_2826	22.0	0.0	235.0	7.0	183.0	2826.0
2731_8719	6.0	0.0	256.0	2.0	2731.0	8719.0
159_418	15.0	0.0	245.0	4.0	159.0	418.0
143_8730	18.0	0.0	240.0	6.0	143.0	8730.0
183_3162	14.0	0.0	248.0	2.0	183.0	3162.0
1750_2866	7.0	0.0	247.0	10.0	1750.0	2866.0
147_1585	17.0	0.0	244.0	3.0	147.0	1585.0
144_3179	21.0	0.0	236.0	7.0	144.0	3179.0
140_1584	15.0	0.0	246.0	3.0	140.0	1584.0
119_157	18.0	0.0	240.0	6.0	119.0	157.0
407_1585	11.0	0.0	249.0	4.0	407.0	1585.0
1583_3187	20.0	0.0	237.0	7.0	1583.0	3187.0
136_3142	11.0	0.0	243.0	10.0	136.0	3142.0
111_190	11.0	1.0	247.0	5.0	111.0	190.0
187_1584	12.0	0.0	247.0	5.0	187.0	1584.0
2963_8727	3.0	0.0	259.0	2.0	2963.0	8727.0
139_3041	21.0	0.0	241.0	2.0	139.0	3041.0
2731_3188	15.0	0.0	246.0	3.0	2731.0	3188.0
142_415	22.0	0.0	239.0	3.0	142.0	415.0
412_3185	15.0	0.0	244.0	5.0	412.0	3185.0
138_412	8.0	0.0	245.0	11.0	138.0	412.0
135_1587	11.0	0.0	251.0	2.0	135.0	1587.0
2723_8727	5.0	0.0	258.0	1.0	2723.0	8727.0
419_3160	7.0	0.0	253.0	4.0	419.0	3160.0
1584_8625	4.0	0.0	254.0	6.0	1584.0	8625.0
146_2824	26.0	0.0	232.0	6.0	146.0	2824.0
1586_8719	9.0	0.0	248.0	7.0	1586.0	8719.0
109_3188	19.0	0.0	240.0	5.0	109.0	3188.0
1584_2826	13.0	0.0	244.0	7.0	1584.0	2826.0
2826_3039	12.0	0.0	246.0	6.0	2826.0	3039.0
418_2824	16.0	0.0	241.0	7.0	418.0	2824.0
119_3039	9.0	0.0	252.0	3.0	119.0	3039.0
164_412	14.0	0.0	245.0	5.0	164.0	412.0
135_412	14.0	0.0	246.0	4.0	135.0	412.0
109_3180	8.0	0.0	249.0	7.0	109.0	3180.0
118_2723	13.0	0.0	251.0	0.0	118.0	2723.0
1584_3142	7.0	0.0	250.0	7.0	1584.0	3142.0
149_415	20.0	0.0	241.0	3.0	149.0	415.0
143_172	23.0	0.0	235.0	6.0	143.0	172.0
2863_3156	5.0	0.0	256.0	3.0	2863.0	3156.0
165_3158	18.0	0.0	242.0	4.0	165.0	3158.0
3175_8718	13.0	0.0	249.0	2.0	3175.0	8718.0
109_3162	9.0	0.0	251.0	4.0	109.0	3162.0
118_3160	11.0	0.0	253.0	0.0	118.0	3160.0
111_407	10.0	1.0	248.0	5.0	111.0	407.0
395_2824	16.0	0.0	244.0	4.0	395.0	2824.0
109_418	16.0	0.0	243.0	5.0	109.0	418.0
3160_3179	11.0	0.0	246.0	7.0	3160.0	3179.0
172_3179	23.0	0.0	230.0	11.0	172.0	3179.0
407_3156	10.0	0.0	250.0	4.0	407.0	3156.0
149_3194	28.0	0.0	231.0	5.0	149.0	3194.0
419_3191	19.0	0.0	240.0	5.0	419.0	3191.0
111_3180	2.0	1.0	256.0	5.0	111.0	3180.0
3162_3192	16.0	0.0	246.0	2.0	3162.0	3192.0
3156_3164	3.0	0.0	260.0	1.0	3156.0	3164.0
3180_10924	5.0	1.0	255.0	3.0	3180.0	10924.0
3175_3187	22.0	0.0	239.0	3.0	3175.0	3187.0
186_1750	17.0	0.0	237.0	10.0	186.0	1750.0
2883_8719	4.0	0.0	259.0	1.0	2883.0	8719.0
143_157	21.0	0.0	238.0	5.0	143.0	157.0
118_3164	11.0	0.0	253.0	0.0	118.0	3164.0
3191_3192	25.0	0.0	233.0	6.0	3191.0	3192.0
166_186	29.0	0.0	226.0	9.0	166.0	186.0
1585_2731	6.0	0.0	256.0	2.0	1585.0	2731.0
122_3164	5.0	0.0	258.0	1.0	122.0	3164.0
1585_8718	3.0	0.0	260.0	1.0	1585.0	8718.0
165_3173	27.0	0.0	231.0	6.0	165.0	3173.0
3_3154	19.0	0.0	237.0	8.0	3.0	3154.0
140_10924	15.0	1.0	246.0	2.0	140.0	10924.0
177_1583	12.0	0.0	247.0	5.0	177.0	1583.0
149_3175	28.0	0.0	232.0	4.0	149.0	3175.0
2883_3162	3.0	0.0	260.0	1.0	2883.0	3162.0
2883_3193	12.0	0.0	249.0	3.0	2883.0	3193.0
173_1750	21.0	0.0	234.0	9.0	173.0	1750.0
173_8719	15.0	0.0	244.0	5.0	173.0	8719.0
116_3193	12.0	0.0	250.0	2.0	116.0	3193.0
183_415	13.0	0.0	245.0	6.0	183.0	415.0
2723_3191	18.0	0.0	245.0	1.0	2723.0	3191.0
118_1583	19.0	0.0	239.0	6.0	118.0	1583.0
3142_3194	18.0	0.0	240.0	6.0	3142.0	3194.0
3173_8820	14.0	0.0	248.0	2.0	3173.0	8820.0
154_419	22.0	0.0	238.0	4.0	154.0	419.0
420_1750	15.0	0.0	241.0	8.0	420.0	1750.0
3142_3187	15.0	0.0	244.0	5.0	3142.0	3187.0
3131_3160	11.0	0.0	251.0	2.0	3131.0	3160.0
407_3160	11.0	0.0	250.0	3.0	407.0	3160.0
3180_8719	2.0	0.0	257.0	5.0	3180.0	8719.0
122_3186	14.0	0.0	246.0	4.0	122.0	3186.0
407_2714	17.0	0.0	238.0	9.0	407.0	2714.0
111_3129	13.0	1.0	245.0	5.0	111.0	3129.0
2883_3041	10.0	0.0	252.0	2.0	2883.0	3041.0
3164_3187	11.0	0.0	251.0	2.0	3164.0	3187.0
154_3040	17.0	0.0	245.0	2.0	154.0	3040.0
