	TP	TN	FP	FN	image1	image2
116_140	13.0	0.0	250.0	1.0	116.0	140.0
159_1586	17.0	0.0	242.0	5.0	159.0	1586.0
3154_3156	10.0	0.0	251.0	3.0	3154.0	3156.0
135_3179	19.0	0.0	237.0	8.0	135.0	3179.0
138_1750	12.0	0.0	239.0	13.0	138.0	1750.0
3185_3193	22.0	0.0	238.0	4.0	3185.0	3193.0
4_173	14.0	0.0	244.0	6.0	4.0	173.0
420_2718	11.0	0.0	247.0	6.0	420.0	2718.0
3162_10924	4.0	0.0	258.0	2.0	3162.0	10924.0
111_3162	3.0	1.0	258.0	2.0	111.0	3162.0
146_2718	20.0	0.0	238.0	6.0	146.0	2718.0
109_138	11.0	0.0	241.0	12.0	109.0	138.0
141_165	26.0	0.0	233.0	5.0	141.0	165.0
159_2731	13.0	0.0	250.0	1.0	159.0	2731.0
187_3192	24.0	0.0	236.0	4.0	187.0	3192.0
2866_3185	14.0	0.0	247.0	3.0	2866.0	3185.0
166_3193	31.0	0.0	227.0	6.0	166.0	3193.0
135_2729	13.0	0.0	248.0	3.0	135.0	2729.0
159_2866	11.0	0.0	251.0	2.0	159.0	2866.0
122_144	14.0	0.0	248.0	2.0	122.0	144.0
2714_2718	10.0	0.0	243.0	11.0	2714.0	2718.0
187_3187	20.0	0.0	241.0	3.0	187.0	3187.0
177_8730	8.0	0.0	250.0	6.0	177.0	8730.0
109_144	19.0	0.0	241.0	4.0	109.0	144.0
138_2714	11.0	0.0	238.0	15.0	138.0	2714.0
149_2866	16.0	0.0	242.0	6.0	149.0	2866.0
122_419	9.0	0.0	251.0	4.0	122.0	419.0
116_8625	2.0	0.0	258.0	4.0	116.0	8625.0
178_3194	16.0	1.0	243.0	4.0	178.0	3194.0
187_2963	11.0	0.0	249.0	4.0	187.0	2963.0
3160_8727	3.0	0.0	260.0	1.0	3160.0	8727.0
183_401	19.0	0.0	238.0	7.0	183.0	401.0
118_157	19.0	0.0	240.0	5.0	118.0	157.0
178_190	13.0	0.0	246.0	5.0	178.0	190.0
154_159	24.0	0.0	238.0	2.0	154.0	159.0
120_187	17.0	0.0	241.0	6.0	120.0	187.0
419_3131	17.0	0.0	244.0	3.0	419.0	3131.0
164_1584	13.0	0.0	247.0	4.0	164.0	1584.0
4_3188	13.0	0.0	248.0	3.0	4.0	3188.0
3129_3173	23.0	0.0	236.0	5.0	3129.0	3173.0
3160_3191	14.0	0.0	247.0	3.0	3160.0	3191.0
147_2863	19.0	0.0	241.0	4.0	147.0	2863.0
415_3158	4.0	0.0	257.0	3.0	415.0	3158.0
116_1583	11.0	0.0	247.0	6.0	116.0	1583.0
418_3188	18.0	0.0	241.0	5.0	418.0	3188.0
412_2723	8.0	0.0	253.0	3.0	412.0	2723.0
