,nid,TP,FP,TN,FN,sensitivity,specificity,accuracy,in_count,out_count,threshold
12980,trm_557b4acdee820,1,0,91,0,1,1,1,1,91,0.98
12985,trm_557b4b27dfd5e,1,0,91,0,1,1,1,1,91,0.98
12991,trm_55ef1fd2bc418,1,0,91,0,1,1,1,1,91,0.98
12992,trm_55ef273a77a86,1,0,91,0,1,1,1,1,91,0.98
12993,trm_559f09a5cdca9,1,0,91,0,1,1,1,1,91,0.98
13000,trm_5534111a8bc96,1,0,91,0,1,1,1,1,91,0.98
13002,trm_55ef153d47bc0,1,0,91,0,1,1,1,1,91,0.98
13004,trm_557b499fac085,1,0,91,0,1,1,1,1,91,0.98
13009,trm_557b4bb7cf05b,1,0,91,0,1,1,1,1,91,0.98
13010,trm_557b49206928b,1,0,91,0,1,1,1,1,91,0.98
13011,trm_558c73f3c8c6f,1,0,91,0,1,1,1,1,91,0.98
13020,trm_557b48aeb7d58,1,0,91,0,1,1,1,1,91,0.98
13030,trm_4a3fd79d0b61f,1,0,91,0,1,1,1,1,91,0.98
13031,trm_557b4817db34d,1,0,91,0,1,1,1,1,91,0.98
13032,trm_567982752ff4a,1,0,91,0,1,1,1,1,91,0.98
13038,trm_557b495cdde57,1,0,91,0,1,1,1,1,91,0.98
13040,trm_4a3fd79d0b64e,1,0,91,0,1,1,1,1,91,0.98
13043,trm_5678a999f1c19,1,0,91,0,1,1,1,1,91,0.98
13057,trm_4c3e04d656f06,1,0,91,0,1,1,1,1,91,0.98
13058,trm_557b47abe9a34,1,0,91,0,1,1,1,1,91,0.98
13059,trm_557b471bc6cd8,1,0,91,0,1,1,1,1,91,0.98
13068,trm_557b4b05ae470,1,0,91,0,1,1,1,1,91,0.98
13071,trm_557b494ca540d,1,0,91,0,1,1,1,1,91,0.99
13076,trm_55c298bbe56d5,1,0,91,0,1,1,1,1,91,0.99
13084,trm_558c7439832d9,1,0,91,0,1,1,1,1,91,0.99
13085,trm_559f0a5b4cd36,1,0,91,0,1,1,1,1,91,0.99
13097,trm_55c6f58e77fbe,1,0,91,0,1,1,1,1,91,0.99
13099,trm_56798c5f25b0c,1,0,91,0,1,1,1,1,91,0.99
13101,trm_4a3fd79d0afcf,1,0,91,0,1,1,1,1,91,0.99
13102,trm_557b4a913f8cc,1,0,91,0,1,1,1,1,91,0.99
13103,trm_557b49ad14adf,1,0,91,0,1,1,1,1,91,0.99
13108,trm_4a3fd79d0a908,1,0,91,0,1,1,1,1,91,0.99
13112,trm_557b4acdee820,1,0,91,0,1,1,1,1,91,0.99
13117,trm_557b4b27dfd5e,1,0,91,0,1,1,1,1,91,0.99
13123,trm_55ef1fd2bc418,1,0,91,0,1,1,1,1,91,0.99
13124,trm_55ef273a77a86,1,0,91,0,1,1,1,1,91,0.99
13125,trm_559f09a5cdca9,1,0,91,0,1,1,1,1,91,0.99
13132,trm_5534111a8bc96,1,0,91,0,1,1,1,1,91,0.99
13134,trm_55ef153d47bc0,1,0,91,0,1,1,1,1,91,0.99
13136,trm_557b499fac085,1,0,91,0,1,1,1,1,91,0.99
13141,trm_557b4bb7cf05b,1,0,91,0,1,1,1,1,91,0.99
13142,trm_557b49206928b,1,0,91,0,1,1,1,1,91,0.99
13143,trm_558c73f3c8c6f,1,0,91,0,1,1,1,1,91,0.99
13152,trm_557b48aeb7d58,1,0,91,0,1,1,1,1,91,0.99
13162,trm_4a3fd79d0b61f,1,0,91,0,1,1,1,1,91,0.99
