	image_id	node	ri_score	bayes_factor	in_count	out_count
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_14_000165	000165	trm_4a3fd79d0a398	0.566266254784	1.13253250957	14.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_31_001587	001587	trm_4a3fd79d0a398	0.756200443877	1.51240088775	31.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_29_000119	000119	trm_4a3fd79d0a398	0.516962326043	1.03392465209	29.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_6_000159	000159	trm_4a3fd79d0a398	0.528195903657	1.05639180731	6.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_20_000172	000172	trm_4a3fd79d0a398	0.582625023418	1.16525004684	20.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_7_003187	003187	trm_4a3fd79d0a398	0.40691589131	0.81383178262	7.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_17_000004	000004	trm_4a3fd79d0a398	0.557778564863	1.11555712973	17.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_29_000186	000186	trm_4a3fd79d0a398	0.412739537213	0.825479074425	29.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_13_000183	000183	trm_4a3fd79d0a398	0.643831845549	1.2876636911	13.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_5_002963	002963	trm_4a3fd79d0a398	0.0874690234924	0.174938046985	5.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_7_000138	000138	trm_4a3fd79d0a398	0.487544342851	0.975088685702	7.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_10_002714	002714	trm_4a3fd79d0a398	0.468450588316	0.936901176631	10.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_13_001750	001750	trm_4a3fd79d0a398	0.292932565768	0.585865131536	13.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_13_002731	002731	trm_4a3fd79d0a398	0.908118602154	1.81623720431	13.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_8_000186	000186	trm_4a3fd79d0a398	0.517368398639	1.03473679728	8.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_2_002729	002729	trm_4a3fd79d0a398	0.447073364308	0.894146728617	2.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_8_000136	000136	trm_4a3fd79d0a398	0.509953468146	1.01990693629	8.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_28_000149	000149	trm_4a3fd79d0a398	0.586281159354	1.17256231871	28.0	58.0
